formacodes,name
,Elaborez une solution d’IA pour votre PME/TPE !
"24231 : ,31008 : ,
      ,
            Réseau informatique
    ,
      ,
            Système information
    ",Technicien-ne supérieur-e systèmes et réseaux -  100% à Distance en Alternance
,SAS de pré-qualification aux métiers de la Data et de l'IA
"31015 : ,31006 : ,24273 : ,31008 : ,31034 : ,
      ,
            Virtualisation
    ,
      ,
            Sécurité informatique
    ,
      ,
            Architecture réseau
    ,
      ,
            Système information
    ,
      ,
            Administration système
    ",Administrateur-trice d’infrastructures sécurisées - 100% Alternance
,Concepteur-rice développeur-se d'applications en environnement DevOps - Nice
"15050 : ,31080 : ,15061 : ,
      ,
            Mise à niveau technologique
    ,
      ,
            Matériel informatique
    ,
      ,
            Accompagnement vers emploi
    ",Hackeuses - Découverte des métiers du numérique - 100% Femmes
,SAS dédié aux personnes en situation de handicap - préqualification aux métiers du Développement Web
"31081 : ,31080 : ,24231 : ,31051 : ,31016 : ,
      ,
            Gestion parc informatique
    ,
      ,
            Matériel informatique
    ,
      ,
            Réseau informatique
    ,
      ,
            Maintenance assistance informatique
    ,
      ,
            Architecture mobile
    ",Technicien-ne d’assistance en informatique - 100% à Distance en Alternance
"46250 : ,70754 : ,
      ,
            Gestion contenu site internet
    ,
      ,
            logiciel gestion de contenu
    ",SAS découverte et orientation vers les métiers du numérique- (100% femmes du 93)
"31036 : ,31023 : ,31052 : ,24268 : ,71654 : ,
      ,
            Administration base de données
    ,
      ,
            Données massives
    ,
      ,
            Data Warehouse
    ,
      ,
            Transmission données informatiques
    ,
      ,
            logiciel système gestion bases données
    ",Data Engineer [Alternance]
"31094 : ,31028 : ,
      ,
            Conduite projet informatique
    ,
      ,
            Intelligence artificielle
    ",Chef / Cheffe de projet en intelligence artificielle Montpellier
,Apple Foundation Program - Développement mobile iOS - octobre/novembre 2024
,Apple Foundation Program - Développement mobile iOS - Octobre / Novembre 2024
,Apple Foundation Program
,Concepteur-rice développeur-se d'applications en environnement DevOps- Marseille
,Appel à intérêt : Testeur.se jeu vidéo QA Assurance Qualité
,Apple Foundation Program - Développement mobile iOS
,Apple Foundation Program - Développement mobile iOS
,Apple Foundation Program - Développement mobile iOS - septembre 2024
,Apple Foundation Program - Développement mobile iOS - Promo 100% femmes
,Testeur.se jeu vidéo QA  Assurance Qualité
,Apple Foundation Program - Développement mobile iOS - Septembre 2024
